DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0000",1707,203,177,236,267,283,288,253
"0001",2240,249,234,369,379,343,334,332
"0002",2035,260,229,303,335,324,286,298
"0003",1857,223,199,267,307,297,274,290
"0004",1992,242,238,290,326,278,329,289
"0005",2017,280,214,304,312,300,305,302
"0006",1901,229,207,268,335,274,309,279
"0007",1944,228,214,325,296,325,304,252
"0008",1944,244,224,297,287,298,316,278
"0009",1983,244,209,325,289,297,307,312
"0010",2159,257,243,340,333,341,324,321
"0011",1953,219,216,318,306,282,308,304
"0012",1992,212,228,289,309,285,314,355
"0013",1996,261,233,311,304,276,316,295
"0014",1994,257,220,291,272,315,338,301
"0015",2077,277,242,312,309,304,306,327
"0016",1901,232,242,263,299,293,295,277
"0017",1988,220,237,331,317,282,287,314
"0018",1869,245,203,272,303,275,289,282
"0019",1856,221,216,285,296,273,292,273
"0020",2054,245,231,301,325,319,336,297
"0021",1898,212,227,288,282,306,312,271
"0022",1931,244,217,292,307,306,296,269
"0023",1852,237,199,274,295,286,286,275
"0024",1951,245,219,312,324,295,289,267
"0025",2029,263,225,307,292,299,321,322
"0026",1966,228,208,322,288,323,297,300
"0027",1964,226,210,323,317,326,294,268
"0028",1906,235,210,297,283,288,310,283
"0029",1891,199,195,320,298,301,296,282
"0030",2075,240,223,320,331,332,328,301
"0031",1795,212,217,288,274,265,284,255
"0032",1885,234,204,282,333,291,303,238
"0033",1901,243,222,292,284,287,296,277
"0034",2030,244,230,298,326,293,319,320
"0035",1969,204,216,322,323,316,318,270
"0036",1923,246,183,292,287,306,325,284
"0037",1936,236,223,297,299,284,324,273
"0038",1902,247,206,292,313,278,284,282
"0039",1804,234,204,258,248,267,301,292
"0040",1998,237,236,313,309,321,278,304
"0041",1812,200,232,317,280,248,277,258
"0042",1887,231,248,297,273,266,306,266
"0043",1845,224,207,274,302,275,299,264
"0044",1959,238,245,268,330,305,300,273
"0045",1996,254,246,286,297,289,308,316
"0046",1801,204,217,288,272,273,283,264
"0047",1849,211,240,270,275,292,277,284
"0048",1904,220,243,260,304,309,288,280
"0049",1846,229,230,274,280,280,310,243
"0050",1979,232,208,323,303,302,310,301
"0051",1858,249,227,303,284,278,258,259
"0052",1873,244,210,271,320,285,284,259
"0053",1899,257,194,294,329,246,315,264
"0054",1826,236,224,279,273,262,288,264
"0055",1913,242,223,295,285,258,306,304
"0056",1811,207,194,288,279,302,272,269
"0057",1891,236,204,285,289,257,332,288
"0058",1924,238,216,273,314,314,312,257
"0059",1832,212,201,256,274,313,298,278
"0100",2206,283,241,280,355,369,349,329
"0101",1774,212,204,272,269,270,269,278
"0102",1888,222,229,289,271,317,289,271
"0103",1898,228,228,294,294,280,302,272
"0104",1964,275,220,302,308,289,299,271
"0105",2002,240,213,308,323,266,330,322
"0106",1901,237,230,283,272,275,319,285
"0107",1870,221,207,273,323,288,268,290
"0108",1830,222,203,253,288,307,270,287
"0109",1856,222,232,269,288,301,283,261
"0110",2040,246,207,308,312,345,315,307
"0111",1846,238,209,265,320,271,265,278
"0112",1881,246,226,277,312,272,303,245
"0113",1772,228,202,282,272,267,267,254
"0114",1828,221,208,283,265,305,304,242
"0115",1937,247,208,305,287,297,294,299
"0116",1800,233,222,253,301,242,263,286
"0117",1847,213,219,284,295,281,272,283
"0118",1814,247,187,270,284,298,284,244
"0119",1850,227,217,283,283,272,307,261
"0120",2036,226,245,333,306,305,341,280
"0121",1800,212,229,283,264,246,284,282
"0122",1834,212,223,260,286,296,285,272
"0123",1916,243,223,294,299,271,314,272
"0124",1896,234,218,294,285,272,311,282
"0125",1939,241,225,307,329,275,279,283
"0126",1917,251,208,281,330,307,278,262
"0127",1787,243,228,265,271,260,278,242
"0128",1880,222,198,282,292,298,323,265
"0129",1905,269,214,279,291,286,280,286
"0130",2005,250,225,302,312,292,320,304
"0131",1765,264,198,243,243,282,277,258
"0132",1735,205,166,249,299,284,278,254
"0133",1809,198,216,301,289,256,274,275
"0134",1832,216,213,264,319,265,311,244
"0135",1818,215,194,310,270,282,285,262
"0136",1829,227,206,237,308,299,268,284
"0137",1867,230,216,273,318,244,302,284
"0138",1758,234,200,270,268,242,259,285
"0139",1809,252,215,301,247,273,270,251
"0140",1997,269,229,298,302,304,294,301
"0141",1844,224,226,274,314,264,286,256
"0142",1810,227,190,274,298,248,317,256
"0143",1809,212,219,252,322,264,282,258
"0144",1884,223,215,302,295,276,303,270
"0145",2007,251,248,315,318,307,286,282
