DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0000",116,12,4,15,19,21,19,26
"0001",152,14,15,20,29,26,27,21
"0002",129,18,7,20,31,22,15,16
"0003",127,8,8,17,22,26,26,20
"0004",113,14,4,16,19,8,25,27
"0005",121,10,8,17,17,22,29,18
"0006",132,14,7,24,23,21,22,21
"0007",117,13,6,26,16,25,19,12
"0008",116,14,12,15,22,16,27,10
"0009",127,14,5,19,25,21,21,22
"0010",128,12,7,19,23,26,27,14
"0011",122,11,7,19,20,21,21,23
"0012",141,13,10,24,17,25,22,30
"0013",111,13,8,22,21,13,15,19
"0014",94,11,8,19,14,10,16,16
"0015",130,10,17,17,27,20,22,17
"0016",117,8,11,11,27,21,18,21
"0017",108,9,9,9,28,16,23,14
"0018",123,15,8,20,18,22,14,26
"0019",121,9,9,21,14,25,20,23
"0020",114,13,8,12,20,20,21,20
"0021",115,9,15,18,16,22,19,16
"0022",119,9,9,23,20,26,19,13
"0023",102,11,5,12,22,12,22,18
"0024",103,6,10,14,16,25,14,18
"0025",112,10,12,22,15,17,16,20
"0026",109,8,7,23,20,16,18,17
"0027",118,11,8,23,19,21,22,14
"0028",117,11,7,11,24,22,24,18
"0029",87,8,4,13,19,19,11,13
"0030",115,8,4,18,22,21,22,20
"0031",88,10,2,18,13,12,20,13
"0032",100,5,3,15,23,10,27,17
"0033",97,5,6,12,18,22,14,20
"0034",92,11,3,10,22,15,11,20
"0035",106,5,6,18,18,24,21,14
"0036",92,11,4,10,17,23,15,12
"0037",111,11,9,18,18,17,27,11
"0038",101,4,11,13,19,18,16,20
"0039",98,9,2,15,18,20,21,13
"0040",135,18,7,19,20,30,23,18
"0041",97,15,4,16,12,12,18,20
"0042",96,8,10,16,15,9,19,19
"0043",97,9,5,10,14,17,22,20
"0044",102,7,8,18,13,22,17,17
"0045",111,6,7,22,19,18,25,14
"0046",111,6,8,17,22,18,21,19
"0047",102,10,9,23,11,20,14,15
"0048",96,10,7,11,21,22,10,15
"0049",116,12,8,17,27,19,17,16
"0050",108,5,6,13,20,19,28,17
"0051",88,10,7,11,17,15,14,14
"0052",111,11,12,17,26,13,16,16
"0053",106,13,6,18,16,14,21,18
"0054",100,7,11,14,18,18,20,12
"0055",95,5,8,14,17,14,20,17
"0056",104,10,8,16,19,19,16,16
"0057",87,12,1,14,15,18,16,11
"0058",90,8,4,11,19,16,17,15
"0059",75,2,8,13,16,14,11,11
"0100",105,14,4,13,20,20,19,15
"0101",97,12,5,11,18,16,22,13
"0102",91,9,8,21,9,16,15,13
"0103",86,7,4,14,19,13,15,14
"0104",109,6,12,11,22,17,20,21
"0105",108,13,3,15,17,13,22,25
"0106",88,9,9,13,16,9,19,13
"0107",99,8,8,16,11,19,18,19
"0108",111,7,7,16,26,19,20,16
"0109",99,11,8,11,15,15,18,21
"0110",98,8,10,21,14,15,16,14
"0111",102,13,9,12,24,16,18,10
"0112",101,13,7,13,21,14,19,14
"0113",91,6,9,19,14,21,12,10
"0114",74,5,6,12,16,14,17,4
"0115",112,4,14,15,22,13,25,19
"0116",87,8,4,14,17,17,15,12
"0117",95,11,5,18,8,22,16,15
"0118",78,5,1,13,21,17,12,9
"0119",95,8,3,16,18,15,15,20
"0120",88,8,5,21,16,13,18,7
"0121",95,10,6,15,15,12,16,21
"0122",86,10,4,11,17,16,16,12
"0123",101,16,7,16,11,22,13,16
"0124",101,9,6,17,22,9,19,19
"0125",127,14,8,21,22,14,17,31
"0126",108,6,11,14,22,21,22,12
"0127",91,8,9,20,24,13,7,10
"0128",103,9,7,24,20,12,15,16
"0129",100,9,4,19,19,17,13,19
"0130",98,10,4,18,10,23,17,16
"0131",75,9,7,11,9,11,18,10
"0132",86,8,6,17,15,9,14,17
"0133",92,5,7,14,20,16,11,19
"0134",87,11,4,11,18,8,16,19
"0135",90,9,5,8,18,17,19,14
"0136",92,9,7,14,19,15,13,15
"0137",113,12,4,25,18,15,23,16
"0138",90,8,9,22,13,14,12,12
"0139",82,7,4,12,12,14,17,16
"0140",92,7,7,11,16,18,18,15
"0141",86,9,7,16,15,16,11,12
"0142",95,14,4,12,18,15,13,19
"0143",81,8,1,7,17,15,18,15
"0144",100,11,4,19,16,19,18,13
"0145",85,8,2,13,14,19,15,14
"0146",92,11,2,26,15,9,16,13
"0147",75,3,3,18,16,9,16,10
"0148",83,13,5,10,9,20,10,16
"0149",102,6,9,18,23,13,16,17
"0150",92,8,10,16,19,11,11,17
"0151",90,13,5,9,20,20,11,12
"0152",93,3,9,13,22,18,13,15
"0153",81,9,12,13,6,15,12,14
"0154",95,10,10,14,15,19,12,15
"0155",79,9,6,9,11,19,12,13
"0156",63,6,1,15,10,10,11,10
"0157",82,10,8,18,13,14,11,8
"0158",74,6,5,13,19,10,12,9
"0159",97,10,1,13,17,15,25,16
"0200",86,11,4,15,19,13,12,12
"0201",67,9,2,12,14,10,10,10
"0202",89,10,5,17,13,12,15,17
"0203",82,8,10,13,12,16,10,13
"0204",84,9,4,16,13,11,13,18
"0205",94,14,7,13,16,15,10,19
"0206",80,6,5,19,18,12,13,7
"0207",76,7,2,9,16,6,22,14
"0208",72,10,11,11,14,12,7,7
"0209",79,10,8,13,17,9,11,11
"0210",92,8,2,9,23,18,22,10
"0211",73,9,5,11,10,13,14,11
"0212",77,4,3,12,14,17,16,11
"0213",83,5,7,14,20,12,15,10
"0214",74,9,7,12,16,12,7,11
"0215",94,7,7,11,12,21,21,15
"0216",89,7,5,11,17,8,23,18
"0217",72,6,6,12,18,9,9,12
"0218",77,8,11,14,10,10,13,11
"0219",84,6,4,14,14,17,18,11
"0220",86,10,3,11,21,21,8,12
"0221",84,4,8,10,18,15,18,11
"0222",93,8,10,7,23,15,15,15
"0223",89,8,9,10,14,22,13,13
"0224",77,6,6,7,26,10,7,15
"0225",91,10,6,18,21,12,11,13
"0226",72,2,8,12,12,12,16,10
"0227",95,3,9,15,14,13,22,19
"0228",83,10,6,14,14,17,11,11
"0229",87,5,3,11,12,16,24,16
"0230",86,4,7,22,16,15,16,6
"0231",86,10,9,17,11,14,14,11
"0232",82,8,7,4,18,13,17,15
"0233",68,9,6,10,12,11,11,9
"0234",58,5,4,7,10,11,12,9
"0235",83,9,6,14,19,9,16,10
"0236",82,8,6,10,10,17,17,14
"0237",71,5,3,13,12,11,9,18
"0238",67,6,4,10,11,14,9,13
"0239",93,11,5,20,15,18,14,10
"0240",84,10,7,12,20,15,13,7
"0241",84,10,11,15,9,10,15,14
"0242",86,7,7,13,20,17,12,10
"0243",80,9,6,11,20,7,11,16
"0244",84,5,7,16,21,7,16,12
"0245",69,9,6,11,9,9,14,11
"0246",64,7,5,12,12,7,16,5
"0247",80,10,6,9,15,16,14,10
"0248",69,8,4,11,13,17,7,9
"0249",85,5,7,12,13,15,17,16
"0250",80,10,8,13,14,12,15,8
"0251",87,6,4,16,15,11,16,19
"0252",75,8,10,9,11,14,11,12
