DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0000",449,41,29,62,83,83,73,78
"0001",572,54,36,96,114,99,88,85
"0002",519,65,31,73,99,88,83,80
"0003",480,30,39,72,94,90,79,76
"0004",512,53,33,86,95,66,100,79
"0005",503,53,31,79,91,87,69,93
"0006",485,44,37,75,88,73,91,77
"0007",493,44,29,86,80,96,86,72
"0008",472,57,33,73,74,80,83,72
"0009",518,58,31,96,82,78,82,91
"0010",548,49,44,86,98,94,106,71
"0011",485,35,36,80,85,82,82,85
"0012",513,39,36,69,92,90,82,105
"0013",506,59,35,98,78,67,91,78
"0014",450,45,26,77,63,75,83,81
"0015",517,49,55,72,88,82,81,90
"0016",483,46,46,73,86,74,74,84
"0017",463,40,45,63,86,69,85,75
"0018",472,46,28,70,91,82,80,75
"0019",479,45,39,87,78,76,84,70
"0020",518,46,34,81,98,89,81,89
"0021",480,41,45,87,79,77,84,67
"0022",488,43,38,98,92,77,72,68
"0023",485,47,33,79,79,82,79,86
"0024",453,49,31,80,80,78,67,68
"0025",516,51,34,95,69,75,93,99
"0026",479,46,41,76,81,74,80,81
"0027",483,43,25,85,91,83,83,73
"0028",480,41,37,70,88,85,86,73
"0029",438,29,22,81,90,69,77,70
"0030",499,49,34,84,77,83,91,81
"0031",417,35,26,73,78,66,74,65
"0032",455,44,33,75,93,58,90,62
"0033",480,48,39,78,80,87,67,81
"0034",470,51,34,64,85,67,82,87
"0035",465,33,28,78,80,94,87,65
"0036",433,42,26,64,80,89,71,61
"0037",460,48,36,80,81,61,89,65
"0038",456,45,34,85,88,69,59,76
"0039",430,36,28,65,76,71,82,72
"0040",518,63,37,84,87,94,75,78
"0041",449,43,37,71,76,61,88,73
"0042",456,35,48,79,74,60,83,77
"0043",442,44,20,59,79,86,78,76
"0044",474,38,30,69,89,79,94,75
"0045",464,45,29,74,80,72,89,75
"0046",446,28,31,67,92,80,77,71
"0047",436,45,31,70,68,81,69,72
"0048",438,41,33,63,79,77,68,77
"0049",455,47,36,72,87,81,73,59
"0050",501,40,28,85,82,85,95,86
"0051",412,45,33,69,80,61,65,59
"0052",469,37,34,92,86,68,86,66
"0053",460,41,28,86,82,68,90,65
"0054",441,43,42,68,78,69,82,59
"0055",435,37,40,64,77,64,84,69
"0056",457,39,23,81,82,84,86,62
"0057",467,48,30,72,75,83,100,59
"0058",448,38,27,70,91,86,83,53
"0059",441,29,31,67,72,92,78,72
"0100",488,46,31,76,76,90,88,81
"0101",414,52,16,75,69,63,69,70
"0102",443,37,42,86,58,76,75,69
"0103",414,39,35,69,62,69,67,73
"0104",461,51,29,64,78,84,83,72
"0105",456,40,30,74,85,60,88,79
"0106",440,45,38,66,72,65,84,70
"0107",465,44,31,74,71,92,79,74
"0108",474,43,28,67,90,82,89,75
"0109",390,44,26,54,76,64,72,54
"0110",475,46,39,63,85,91,84,67
"0111",412,39,35,51,83,70,65,69
