DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0000",1255,161,148,174,184,199,215,174
"0001",1666,195,198,273,264,243,246,247
"0002",1516,195,198,230,236,236,203,218
"0003",1376,193,160,195,213,207,195,213
"0004",1479,189,204,204,231,212,229,210
"0005",1513,226,183,225,221,213,236,209
"0006",1415,185,170,192,247,201,218,202
"0007",1451,184,185,239,216,229,218,180
"0008",1465,187,188,224,212,218,231,205
"0009",1463,186,178,229,207,218,225,220
"0010",1610,208,199,254,235,246,218,250
"0011",1467,184,180,238,221,200,225,219
"0012",1478,173,192,220,217,194,232,250
"0013",1489,201,198,213,226,209,225,217
"0014",1542,212,194,214,207,240,255,220
"0015",1560,228,187,240,221,222,225,237
"0016",1417,186,196,190,213,219,220,193
"0017",1524,180,191,268,231,213,202,239
"0018",1393,199,175,200,211,193,208,207
"0019",1376,176,177,198,218,196,208,203
"0020",1530,197,197,219,227,230,253,207
"0021",1417,171,182,201,203,229,227,204
"0022",1440,200,179,193,215,228,224,201
"0023",1366,189,166,195,216,204,207,189
"0024",1497,196,188,231,244,217,222,199
"0025",1513,212,191,212,223,224,228,223
"0026",1485,182,167,245,207,249,217,218
"0027",1479,183,185,238,225,242,211,195
"0028",1424,193,173,227,195,202,224,210
"0029",1449,169,172,239,208,231,218,212
"0030",1573,190,188,235,254,249,237,220
"0031",1375,177,191,215,195,198,209,190
"0032",1428,190,171,207,239,233,212,176
"0033",1421,195,183,214,204,200,229,196
"0034",1560,193,196,234,241,226,237,233
"0035",1500,171,187,243,241,222,231,205
"0036",1487,203,157,228,207,217,252,223
"0037",1475,188,187,217,217,223,235,208
"0038",1446,202,172,207,225,209,225,206
"0039",1373,197,176,193,172,196,219,220
"0040",1478,173,199,229,221,227,203,226
"0041",1362,157,195,246,203,187,189,185
"0042",1431,196,200,218,199,206,223,189
"0043",1403,180,187,215,223,189,221,188
"0044",1479,197,214,199,241,224,206,198
"0045",1531,208,217,212,217,217,219,241
"0046",1354,176,186,221,179,193,206,193
"0047",1412,166,208,200,207,211,208,212
"0048",1466,179,210,197,225,232,220,203
"0049",1389,182,194,202,193,199,236,183
"0050",1478,192,180,238,221,217,215,215
"0051",1446,204,194,234,204,217,193,200
"0052",1404,207,176,179,234,217,198,193
"0053",1437,216,166,207,247,177,225,199
"0054",1383,192,182,211,195,192,206,205
"0055",1477,205,183,231,208,194,222,234
"0056",1351,167,171,207,197,217,185,207
"0057",1419,187,173,212,214,174,232,227
"0058",1476,200,189,203,223,228,229,204
"0059",1390,182,170,189,202,221,220,206
"0100",1717,237,210,203,279,279,261,248
"0101",1357,159,188,197,199,206,200,208
"0102",1444,184,187,203,213,241,214,202
"0103",1480,189,192,225,232,211,233,198
"0104",1499,223,191,238,229,204,216,198
"0105",1544,200,182,234,237,206,242,243
"0106",1460,192,192,217,200,210,234,215
"0107",1403,177,176,199,252,196,188,215
"0108",1353,178,175,186,198,223,181,212
"0109",1464,178,206,215,212,236,211,206
"0110",1561,199,168,245,226,254,230,239
"0111",1429,198,174,212,236,200,200,209
"0112",1458,201,195,205,235,207,225,190
"0113",1356,188,170,205,211,187,202,193
"0114",1418,186,178,214,192,226,239,183
"0115",1521,204,177,233,218,246,215,228
"0116",1364,192,182,194,218,168,200,210
"0117",1390,166,192,205,222,202,200,203
"0118",1412,210,160,209,209,218,212,194
"0119",1406,176,197,208,214,200,221,190
"0120",1563,191,212,243,222,233,252,210
"0121",1381,173,194,202,192,186,224,210
"0122",1440,171,192,197,217,226,223,214
"0123",1472,197,189,218,223,202,239,204
"0124",1439,194,191,218,197,214,224,201
"0125",1478,198,193,235,239,215,194,204
"0126",1497,207,182,225,245,222,207,209
"0127",1369,199,187,202,188,197,216,180
"0128",1413,172,165,212,212,217,243,192
"0129",1470,223,191,203,219,217,209,208
"0130",1561,203,200,231,237,219,235,236
"0131",1389,221,175,188,188,212,206,199
"0132",1337,174,139,181,228,224,204,187
"0133",1398,174,181,226,214,198,201,204
"0134",1411,180,185,191,250,199,233,173
"0135",1399,172,167,240,195,217,213,195
"0136",1412,184,184,180,219,225,210,210
"0137",1435,194,183,208,231,188,216,215
"0138",1357,194,166,193,202,186,189,227
"0139",1400,209,189,239,182,202,202,177
"0140",1542,230,192,231,228,231,211,219
"0141",1437,185,187,202,241,201,224,197
"0142",1377,177,161,218,211,181,239,190
"0143",1397,176,192,189,237,201,214,188
"0144",1424,173,184,221,226,200,207,213
"0145",1566,214,213,232,247,236,214,210
"0146",1402,207,171,200,209,227,194,194
"0147",1435,183,190,234,206,232,203,187
"0148",1473,194,207,202,211,202,240,217
"0149",1370,181,169,217,218,188,190,207
"0150",1479,211,186,218,217,205,214,228
