DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0000",1317,145,141,184,208,220,222,197
"0001",1718,197,180,288,290,267,243,253
"0002",1558,192,171,234,254,243,224,240
"0003",1430,180,156,199,236,233,205,221
"0004",1501,177,186,228,254,208,246,202
"0005",1571,221,166,238,246,221,233,246
"0006",1442,163,164,204,254,216,232,209
"0007",1496,172,171,240,231,250,240,192
"0008",1508,190,178,222,223,238,233,224
"0009",1535,193,167,253,208,232,236,246
"0010",1688,203,196,276,256,260,249,248
"0011",1485,170,167,236,241,213,233,225
"0012",1503,156,185,221,240,210,237,254
"0013",1545,215,183,236,231,213,237,230
"0014",1591,197,170,234,223,251,273,243
"0015",1614,227,184,241,233,229,239,261
"0016",1481,179,192,216,221,224,227,222
"0017",1537,173,179,262,235,219,224,245
"0018",1482,197,158,219,247,217,232,212
"0019",1437,178,166,223,241,206,216,207
"0020",1603,184,178,240,259,256,253,233
"0021",1486,170,180,224,225,239,235,213
"0022",1484,196,166,225,238,231,222,206
"0023",1435,186,153,221,218,226,213,218
"0024",1508,196,167,241,252,216,226,210
"0025",1571,212,170,229,227,237,243,253
"0026",1516,186,164,236,216,255,229,230
"0027",1518,176,169,248,252,247,221,205
"0028",1489,188,172,229,222,224,239,215
"0029",1472,157,155,239,245,223,225,228
"0030",1628,190,175,258,255,254,256,240
"0031",1409,162,174,218,221,215,213,206
"0032",1477,188,173,228,254,220,233,181
"0033",1501,204,178,233,216,226,236,208
"0034",1600,190,184,236,248,242,259,241
"0035",1537,162,168,249,243,247,245,223
"0036",1512,198,144,233,220,236,261,220
"0037",1477,181,168,223,235,216,249,205
"0038",1502,207,155,240,263,210,213,214
"0039",1391,185,165,194,195,206,223,223
"0040",1552,186,187,251,236,241,210,241
"0041",1411,150,183,246,228,191,209,204
"0042",1487,186,196,238,216,214,226,211
"0043",1438,182,158,222,233,223,232,188
"0044",1526,181,193,202,263,241,230,216
"0045",1561,194,186,228,225,238,236,254
"0046",1387,155,173,224,204,213,225,193
"0047",1435,163,181,195,221,228,218,229
"0048",1464,170,190,201,235,225,225,218
"0049",1405,181,168,211,204,217,235,189
"0050",1557,192,170,252,232,244,228,239
"0051",1459,192,171,251,221,222,200,202
"0052",1464,191,153,219,256,219,226,200
"0053",1499,189,150,231,261,203,256,209
"0054",1425,190,172,219,209,192,233,210
"0055",1517,195,179,233,226,203,236,245
