DOB_WK,"Total","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday"
"DOB_TT",
"0000",984,116,116,137,144,158,168,145
"0001",1296,157,159,212,204,193,182,189
"0002",1168,145,147,181,186,177,156,176
"0003",1077,158,125,144,164,169,152,165
"0004",1101,138,156,158,178,150,171,150
"0005",1189,178,143,176,172,156,193,171
"0006",1088,133,134,152,189,164,163,153
"0007",1120,141,148,180,167,179,173,132
"0008",1146,147,154,164,170,174,176,161
"0009",1145,149,141,177,151,175,175,177
"0010",1267,166,159,209,181,191,170,191
"0011",1121,146,138,175,176,152,171,163
"0012",1131,130,159,177,165,144,177,179
"0013",1150,169,156,160,174,159,161,171
"0014",1233,163,152,176,172,186,206,178
"0015",1227,188,146,186,172,167,180,188
"0016",1114,141,157,154,162,171,170,159
"0017",1182,142,143,208,177,166,162,184
"0018",1131,166,138,168,174,157,165,163
"0019",1078,142,136,157,177,154,152,160
"0020",1196,150,152,171,181,187,192,163
"0021",1120,138,150,155,162,184,169,162
"0022",1113,161,137,149,166,180,169,151
"0023",1051,149,125,154,161,156,156,150
"0024",1157,153,146,174,188,163,173,160
"0025",1167,171,148,156,173,179,166,174
"0026",1145,148,130,182,155,197,167,166
"0027",1152,144,152,186,179,185,160,146
"0028",1124,157,142,170,158,160,177,160
"0029",1117,135,136,171,174,172,158,171
"0030",1242,148,144,191,200,192,188,179
"0031",1077,137,150,163,155,160,158,154
"0032",1121,149,143,168,184,172,169,136
"0033",1118,161,145,167,154,161,183,147
"0034",1222,150,153,182,185,190,188,174
"0035",1175,134,145,189,179,177,179,172
"0036",1169,166,122,179,157,170,204,171
"0037",1128,144,141,161,172,172,187,151
"0038",1147,166,132,168,194,159,170,158
"0039",1059,158,139,144,137,155,162,164
"0040",1168,140,157,186,169,177,158,181
"0041",1058,122,150,191,163,142,139,151
"0042",1128,159,158,175,157,164,162,153
"0043",1093,147,143,173,168,154,176,132
"0044",1149,148,170,151,187,182,153,158
"0045",1208,155,164,176,164,184,172,193
"0046",1052,133,150,174,134,151,169,141
"0047",1100,128,158,148,164,167,163,172
"0048",1122,139,164,149,177,170,167,156
"0049",1064,146,140,156,144,155,178,145
"0050",1164,157,148,180,170,178,161,170
"0051",1135,157,145,193,158,176,149,157
"0052",1106,165,131,144,196,164,156,150
"0053",1143,161,128,162,195,148,187,162
"0054",1083,153,141,165,149,141,171,163
"0055",1177,163,147,183,166,153,172,193
"0056",1060,130,126,163,162,170,143,166
"0057",1088,143,135,173,161,134,176,166
"0058",1170,167,130,161,176,186,189,161
"0059",1102,144,141,151,153,170,175,168
"0100",1361,188,172,170,213,226,204,188
"0101",1070,129,149,156,158,166,157,155
"0102",1175,147,142,166,175,201,178,166
"0103",1170,153,149,174,185,160,197,152
"0104",1185,190,134,186,186,158,175,156
"0105",1236,163,140,190,186,167,194,196
"0106",1157,149,155,174,152,165,183,179
"0107",1099,147,134,161,199,148,146,164
"0108",1097,145,140,151,161,174,145,181
"0109",1165,142,165,167,173,187,169,162
"0110",1246,173,141,201,165,193,176,197
"0111",1133,159,137,170,179,158,160,170
"0112",1156,159,148,168,184,160,176,161
"0113",1099,143,137,164,177,158,169,151
"0114",1101,144,139,162,146,172,195,143
"0115",1238,166,135,187,182,206,172,190
"0116",1111,151,152,162,170,134,167,175
"0117",1117,133,150,161,180,169,156,168
"0118",1151,170,129,178,176,174,167,157
"0119",1114,130,158,171,169,157,174,155
"0120",1238,142,169,198,187,186,200,156
"0121",1104,138,150,161,152,155,184,164
"0122",1156,142,144,155,169,186,184,176
"0123",1183,159,153,187,174,163,187,160
"0124",1154,164,158,168,153,173,171,167
"0125",1195,153,158,195,197,171,155,166
"0126",1195,161,149,188,197,172,166,162
"0127",1094,161,151,156,153,160,171,142
"0128",1131,139,135,164,164,172,202,155
"0129",1166,184,155,145,176,179,161,166
"0130",1249,164,157,180,197,181,185,185
"0131",1099,174,145,150,153,173,157,147
"0132",1065,129,110,147,181,177,170,151
"0133",1131,146,145,180,181,150,161,168
"0134",1094,150,141,145,191,155,182,130
"0135",1129,146,136,190,154,176,167,160
"0136",1116,149,135,137,175,185,166,169
"0137",1128,141,155,162,179,154,164,173
"0138",1070,161,128,148,163,151,149,170
"0139",1142,175,151,196,140,168,161,151
"0140",1245,191,147,200,184,180,168,175
"0141",1133,147,155,170,177,155,180,149
"0142",1108,150,129,172,174,148,191,144
"0143",1140,150,160,140,186,169,172,163
"0144",1124,137,156,167,187,156,165,156
"0145",1291,181,174,195,204,196,170,171
"0146",1115,178,123,156,166,184,157,151
"0147",1182,150,153,181,179,189,174,156
"0148",1162,148,162,170,158,160,192,172
"0149",1116,154,137,178,173,150,151,173
"0150",1217,177,149,183,178,175,168,187
"0151",1098,139,137,160,171,162,177,152
"0152",1109,136,144,156,156,164,181,172
"0153",1138,142,154,163,178,186,148,167
"0154",1052,111,161,155,144,163,170,148
"0155",1198,163,157,185,167,187,189,150
"0156",1094,149,153,142,159,159,181,151
"0157",1146,162,155,154,193,148,162,172
"0158",1163,150,163,139,157,190,185,179
"0159",1104,138,153,149,145,175,175,169
"0200",1298,165,163,191,211,204,209,155
"0201",1174,163,137,175,178,175,178,168
"0202",1172,153,155,167,184,174,171,168
"0203",1117,140,149,165,162,172,176,153
"0204",1079,153,135,144,177,166,131,173
"0205",1194,149,161,171,185,165,200,163
"0206",1165,174,138,168,177,162,161,185
"0207",1104,136,143,166,177,161,177,144
"0208",1150,148,141,171,169,176,178,167
"0209",1136,123,128,186,162,170,197,170
"0210",1210,155,174,153,176,173,201,178
"0211",1085,156,129,165,161,159,170,145
"0212",1091,181,124,173,151,173,129,160
"0213",1110,134,167,161,148,156,191,153
"0214",1064,146,137,151,151,163,168,148
"0215",1276,149,164,189,192,191,188,203
"0216",1116,155,138,176,148,143,199,157
"0217",1076,125,149,179,158,140,160,165
"0218",1127,143,143,183,156,171,164,167
"0219",1140,143,131,169,173,181,157,186
"0220",1255,158,186,195,184,177,164,191
"0221",1078,150,150,138,159,159,167,155
"0222",1104,140,154,189,152,155,149,165
"0223",1107,162,130,143,182,170,169,151
"0224",1128,148,150,169,185,143,156,177
"0225",1173,159,158,192,202,144,163,155
"0226",1202,156,175,170,151,176,203,171
"0227",1067,164,157,130,154,147,168,147
"0228",1069,141,128,171,145,181,145,158
"0229",1050,162,156,137,160,149,151,135
"0230",1273,174,189,146,209,192,175,188
"0231",1077,149,141,162,160,150,153,162
"0232",1171,173,165,162,170,173,148,180
"0233",1139,156,158,160,166,161,174,164
"0234",1212,155,143,181,196,165,196,176
"0235",1180,169,154,164,164,169,176,184
"0236",1145,159,129,162,196,189,160,150
"0237",1189,135,150,194,168,167,197,178
"0238",1135,140,147,177,186,179,141,165
"0239",1042,134,140,161,169,133,141,164
"0240",1239,168,164,177,181,189,193,167
"0241",1110,155,140,164,164,174,159,154
"0242",1204,159,154,176,187,162,187,179
"0243",1039,134,130,176,144,164,159,132
"0244",1147,137,141,151,195,171,179,173
"0245",1262,181,152,192,189,194,182,172
"0246",1136,157,136,180,164,162,162,175
"0247",1139,137,146,174,178,177,194,133
"0248",1156,165,148,179,181,160,168,155
"0249",1149,162,143,185,166,164,167,162
"0250",1266,164,179,194,198,180,183,168
"0251",1108,129,143,160,176,174,175,151
"0252",1150,165,155,164,156,184,160,166
"0253",1084,167,147,156,150,166,154,144
"0254",1065,126,138,170,169,132,172,158
"0255",1253,188,149,214,189,195,156,162
"0256",1070,152,138,161,153,144,166,156
"0257",1089,135,145,154,161,175,163,156
"0258",1096,137,161,164,155,150,175,154
"0259",1081,147,149,144,161,141,164,175
"0300",1281,155,158,210,191,193,201,173
"0301",1164,163,125,157,177,173,196,173
"0302",1145,133,157,171,184,163,161,176
"0303",1216,171,151,180,202,192,170,150
"0304",1106,156,133,169,174,149,164,161
"0305",1202,163,169,163,161,169,191,186
"0306",1200,156,161,169,182,174,173,185
"0307",1163,162,156,162,163,163,197,160
"0308",1122,138,144,158,171,184,147,180
"0309",1028,133,139,143,155,142,150,166
